id,sku,english,hebrew
1479028,1479028,Midnight Snack, Dark Chocolate-Coated Biscuit,חטיף חצות, ביסקוויט מצופה שוקולד מריר
1479032,NP23,Quarter to Seven White Chocolate,רבע עד שבעה שוקולד לבן
1479046,CAK_CK05,Osem Petit-Beurre Vanilla Biscuits 500G,OSEM Petit-Beurre ביסקוויטים 500 גרם
1479047,CAK_CK06,Osem Petit-Beurre Chocolate Biscuits 500G,OSEM Petit-Beurre Bightuits Biscuits 500G
1479109,SWEET25,Classic Quarter To Seven,רבע קלאסי עד שבע
1479116,CAK_CK36,Chocolate Chip Cookies Classic 200g (Osem) (12),עוגיות שוקולד צ'יפס קלאסיות 200 גרם (OSEM) (12)
1479192,CAK_CK64,Gluten-Free Petit Beurre Chocolate Biscuit,ביסקוויט שוקולד ללא גלוטן ללא גלוטן
1479856,1479856,Pereg - Mixed nuts and dried fruits ( Tu bishvat ),פרג ' - אגוזים מעורבים ופירות יבשים (TU Bishvat)
1479857,1479857,Pereg - Sunflower Seeds ( Tu Bishvat),פרג ' - זרעי חמניות (TU Bishvat)
1479884,1479884,Martin Sunflower Seed Roasted 100g,זרע חמניות מרטין קלוי 100 גרם
1479886,1479886,Martin Pumpkin Seeds 100g,זרעי דלעת מרטין 100 גרם
1479887,1479887,Caramelized Coated Hazelnut 250g,אגוז לוז מצופה מקורמל 250 גרם
1479891,1479891,Chocolate covered pecan truffles,כמהין פקאן מכוסה שוקולד
1479893,1479893,Almonds in cinnamon 250g,שקדים בקינמון 250 גרם
1479894,1479894,Watermelon Seeds Zarifa, 200g,זרעי אבטיח זריפה, 200 גרם
1479899,JCCDATES1,Rimon Premium Dates,תאריכי רימון פרימיום
1479901,1479901,Jumbo Dried Raisin,ג'מבו מיובש צימוק
1479904,1479904,Jumbo light raisins 250g,צימוקים קל ג'מבו 250 גרם
1479905,1479905,Dried Turkish Apricot 250g,משמש טורקי מיובש 250 גרם
1479925,1479925,24 Hour Nesma Candle in Tin,נר נסמה 24 שעות בפח
1479926,1479926,48 Hour Nesma Candle,נר נסמה 48 שעות
1479933,CANDL07,Tiu Tea Light Candles 50 Pc,TIU Tio Light נרות 50 PC
1479948,1479948,Havdalah Candle Candlestick Torch Model C,נרות Havdalah נרות לפיד דגם C
1479949,1479949,72 Hour Nesma Candle in Plastic,נר נסמה 72 שעות בפלסטיק
1479955,1479955,Special Matches,משחקים מיוחדים
1479960,MEZU01,Mezuzah Transparent,מזוזה שקופה
1479982,CLNACC01,Perfect Cleaning Sponge,ספוג ניקוי מושלם
1479999,ELECAPL02,Platter For Cooking,מגש לבישול
1480001,1480001,Foldable 4-Pot Platter,מגש 4 סיר מתקפל
1480043,DISPSB41,Tooth Pick,בחירת שיניים
1480118,LEGMS05,Flaxseeds 400G,זרעי פשתן 400 גרם
1480124,1480124,White Beans,שעועית לבנה
1480130,BRKFSCE21,Gmi Reeses Puffs Minis,GMI Reeses Puffs Minis
1480133,BRKFSCE03,Champions Yellow Cornflakes Telma 850g (8),אלופות קורנפלקס צהוב טלמה 850 גרם (8)
1480135,BRKFSCE05,General Mills French Toast Crunch Cereal Mid 314G,ג'נרל מילס טוסט טוסט צרפתי דגני בוקר אמצע 314 גרם
1480141,100000007082,Telma Delipecan Cereal,דגני בוקר של טלמה
1480148,BRKFSCE09,Telma Nougat Pillows 686g,כריות טלמה נוגט 686 גרם
1480150,BRKFSCE11,Telma Cocoman Brown White 375G,טלמה קוקומן לבן 375 גרם
1480151,BRKFSCE12,Telma Cocoman Balls 375 G,טלמה כדורי קוקומן 375 גרם
1480157,BRKFSCE32,General Mills Reeses Puffs Cereal 326G,General Mills Reeses Puffs דגני בוקר 326 גרם
1480181,1480181,Box of Vanilla Cream Filled Profiteroles,קופסת קרם וניל מלא פרופטרולים
1480196,1480196,Cantucci Cookies (Dairy),עוגיות קנטוצ'י (חלב)
1480198,1480198,Kinder Cookies,עוגיות טובות יותר
1480199,1480199,Blondies Cookies,עוגיות בלונדיניות
1480201,1480201,Nut Squares Cookies,עוגיות ריבועי אגוזים
1480203,1480203,Granola Cookies,עוגיות גרנולה
1480220,1480220,Vanilla Nougat Crunch,קראנץ 'וניל נוגט
1480222,1480222,White Chocolate,שׁוֹקוֹלָד לָבָן
1480223,1480223,Pistachio,פיסטוק
1480224,1480224,Chocolate Nougat,שוקולד נוגט
1480226,1480226,White Chocolate Pistachio,פיסטוק שוקולד לבן
1480228,1480228,Kokilda chocolate ice cream,גלידת שוקולד קוקילדה
1480229,1480229,La Frutta Apple,לה פרוטה אפל
1480230,1480230,La Frutta Mango,לה פרוטה מנגו
1480232,1480232,Crunchy timeout ice cream,גלידת פסק זמן פריכה
1480233,1480233,Tortit Chocolate Ice Cream with Dark Chocolate Coating,גלידת שוקולד טוגיט עם ציפוי שוקולד מריר
1480234,1480234,Coated Shoko Shoko,שוקו שוקו מצופה
1480235,1480235,Vanilla and Chocolate,וניל ושוקולד
1480236,1480236,Belgian Chocolate,שוקולד בלגי
1480237,1480237,Italian Vanilla,וניל איטלקי
1480238,1480238,La Cremaria Banana and Raspberry Flavors, 1.4 liters,La Cremeria בננה וטעמי פטל, 1.4 ליטר
1480244,1480244,Chocolate Nougat Crunch,קראנץ 'נוגט שוקולד
1480246,1480246,Coated Shoko Bane,שוקו ביין מצופה
1480253,1480253,Pineapple Ice,קרח אננס
1480254,1480254,La Cremaria Strawberry and Lemon Flavors, 1.4 liters,La Cremeria תות וטעמי לימון, 1.4 ליטר
1480256,1480256,Crunch caramel,קראנץ 'קרמל
1480257,PRECKDFD02,Plant-Based Sausages, Badatz Zoglovek,נקניקיות מבוססות צמחים, Badatz Zoglovek
1480261,PRECKDFD06,Filo Dough,בצק פילו
1480262,CHESBTR13,Cheese Borax Filo Sticks,מקלות פילו בורקס גבינה
1480263,PRECKDFD09,Yemenite Mlawah,תימניט מלווה
1480264,PRECKDFD10,Original Yemenite Jahanun,תימן מקורי ג'האנון
1480266,1480266,Sweet Potato Ravioli (Parve)*,רביולי בטטה (פרווה)*
1480270,PRECKDFD14,Mama Mia Pizza with Olives,אימא מיה פיצה עם זיתים
1480271,PRECKDFD15,Mama Mia Pizza Margherita,אמא מיה פיצה מרגריטה
1480272,PRECKDFD25,Chinese Eggroll,Eggroll סיני
1480273,PRECKDFD28,Onion Rings,טבעות בצל
1480275,1480275,Potato Filled Dumplings Varniki,כופתאות מלאות תפוחי אדמה ורניקי
1480276,1480276,Filled Dough Shells,מילוי פגזי בצק
1480279,1480279,Pretzel Pretzels, 280 g,בייגלה בייגלה, 280 גרם
1480280,1480280,Mini Belgian Waffles Barenz,מיני וופלים בלגי ברנץ
1480281,1480281,Cheese Blintzes, 350 g,בלינץ גבינה, 350 גרם
1480296,PRECKDFD20,Peas and Carrots Mix,אפונה וגזר מתערבבים
1480297,PRECKDFD21,Cooked White Beans,שעועית לבנה מבושלת
1480300,PRECKDFD24,Mixed Vegetables,ירקות מעורבים
1480302,PRECKDFD17,Garden Peas,אפונה בגינה
1480303,PRECKDFD18,Whole Green Beans,שעועית ירוקה שלמה
1480304,PRECKDFD19,Baby Carrots,גזר תינוקות
1480306,HOTDRNK12,Wissotzky Classic Black Tea, 100Pc,תה שחור קלאסי ויסוצקי, 100 pc
1480307,NP26,Kedem Grape Juice Bottle,בקבוק מיץ ענבים של קדם
1480308,GRPJU01,Kedem Grape Juice 946 Ml,קדם מיץ ענבים 946 מל
1480309,GRPJU03,Kedem Grape Juice,מיץ ענבים של קדם
1480317,HOTDRNK17,Wissotzki Mint Green Tea. 25Pcs,ויסוצקי נענע תה ירוק. 25 יחידות
1480318,HOTDRNK04,Nescafe Instant Coffee 200g (Elite) (12),NESCAFE קפה נמס 200 גרם (עלית) (12)
1480320,HOTDRNK05,Elite Vanilla Instant Coffee 200G,קפה נמס עלית וניל 200 גרם
1480321,HOTDRNK07,Elite Instant Coffee 50G,קפה נמס עלית 50 גרם
1480324,HOTDRNK14,Wissotzky Lemongrass & Verbena Green Tea, 25Pc,ויסוטזקי לימונגראס ותה ירוק ורבנה, 25 יח '
1480326,HOTDRNK19,Nescafe Gold Instant Coffee Taster's Choice Red 200g (12),Nescafe Gold Coffee Tast's Choice Add 200 גרם (12)
1480327,HOTDRNK01,Chocolate Drink Box 500g,קופסת שתיית שוקולד 500 גרם
1480328,HOTDRNK06,Elite Mocha Instant Coffee 200G,עלית מוקה קפה מיידי 200 גרם
1480330,1480330,Fuze Tea Bottle, 1.5 liters,בקבוק תה דלק. 1.5 ליטר
1480331,SFTDRNK03,Coca Cola Light 0,33L,קוקה קולה דיאט 0.33L
1480342,SFTDRNK37,Coca-Cola Original 2.5L,קוקה קולה מקורי 2.5L
1480344,SFTDRNK01,Sprite (Canned) 0,33L,ספרייט (משומר) 0.33L
1480345,SFTDRNK02,Coca Cola Original (Canned) 0,33L,קוקה קולה מקורית (משומר) 0.33L
1480347,SFTDRNK12,Coca-Cola Zero (Case) 0,33L,קוקה קולה אפס (מקרה) 0.33L
1480358,SFTDRNK22,Coca-Cola Original 150Ml,קוקה קולה מקורי 150 מל
1480362,SFTDRNK27,Coca Cola Zero,1 Lt,קוקה קולה אפס, 1 lt
1480367,SFTDRNK28,Coca-Cola Zero 150 ML,קוקה קולה אפס 150 מל
1480373,SFTDRNK48,Prigat Grape Juice 1 Ltr,מיץ ענבים פריגאט 1 ליטר
1480375,SFTDRNK50,Origins+ Mild Apple 1Ltr,Origins+ Apple 1ltr עדין
1480376,SFTDRNK51,Origins+ Grape  1 Ltr,מקורות+ ענבים 1 ltr
1480379,SFTDRNK54,Origins+ Grape 500Ml,מקורות+ ענבים 500 מל
1480380,SFTDRNK55,Prigat Grape Juice 500 ML,מיץ ענבים פריגאט 500 מל
1480381,SFTDRNK56,Prigat Orange Flavour 500ML,טעם כתום של פריגאט 500 מל
1480391,SFTDRNK59,Prigat Mango 1 Ltr,Prigat Mango 1 ltr
1480392,SFTDRNK60,Neviot flavoured water,מים בטעם נביוט
1480393,SFTDRNK61,Neviot flavoured water 500 ml,מים בטעם נביוט 500 מל
1480394,SFTDRNK62,Prigat Green Apple water  500 ml,פריגאט מים תפוחים ירוקים 500 מל
1480400,SFTDRNK68,Voss Still Nat Water 375 ml,Voss Still Nat Water 375 מל
1480408,1480408,Tempo Soda Glass Bottle 275ml,בקבוק זכוכית סודה טמפו 275 מל
1480410,SFTDRNK77,Blu Energy Drink 250 ml,משקה אנרגיה Blu 250 מל
1480413,1480413,Arizona tea mucha mango,תה אריזונה מנגו מנגו
1480414,1480414,Arizona tea sweet tea,תה אריזונה תה מתוק
1480421,100000008850,Cooking cream 15%, 250 ml,קרם בישול 15%, 250 מל
1480422,1480422,Cream sauce with mushrooms 9%, 250 ml,רוטב שמנת עם פטריות 9%, 250 מל
1480423,1480423,Whipping cream 38%, 250 ml,שמנת מקצפת 38%, 250 מל
1480425,1480425,The White Chef Coconut Liquid 18%,נוזל הקוקוס של השף הלבן 18%
1480428,1480428,Butter,חֶמאָה
1480480,1480480,Authentic Labneh Cheese (Yogurt-Based), 5%, 500g,גבינת לבנה אותנטית (מבוססת יוגורט), 5%, 500 גרם
1480482,1480482,Napoleon Cream Cheese with Green Olives, 24%, 225g,גבינת שמנת נפוליאון עם זיתים ירוקים, 24%, 225 גרם
1480526,1480526,Liver Spread,התפשטות כבד
1480529,CLDCT57,La Del Roast Beef,לה דל צלי בקר
1480536,CLDCT64,La Del Smoked Entrecôte,לה דל מעשן אנטרקוט
1480540,CLDCT68,La Del Goose Breast,חזה לה אווז
1480555,FRZNCHK13,Premium Whole Chicken Pack,חבילת עוף שלמה של פרימיום
1480556,FRZNCHK14,Premium Chicken Wings Pack,חבילת כנפי עוף פרימיום
1480582,1480582,Premium Boneless Chicken Leg Pack,חבילת רגל עוף נטולת עצמות מובחרת
1480583,1480583,Premium Chicken Leg Quarter Pack,חבילת רבע רגל עוף פרימיום
1480716,1480716,Beef Kolichal Pack- UK,חבילת קוליכל בקר- בריטניה
1480727,FISH004,Kani Sticks,מקלות קאני
1480748,4583,Surimi Sticks (Delicatesse ),מקלות סורימי (מעדנייה)
1480752,CNNFDS05,Osem Barbecue Sauce 335G,רוטב ברביקיו OSEM 335 גרם
1480754,CNNFDS12,Ortega Taco Sauce Medium 226G,רוטב אורטגה טאקו מדיום 226 גרם
1480755,CNNFDS13,Ortega Taco Sauce Mild 226G,אורטגה טאקו רוטב עדין 226 גרם
1480756,BORN18,Bornibus Mild Garlic with Chilli,בורניבוס שום עדין עם צ'ילי
1480757,1480757,Halva Spread, 350g, Blega ),התפשטות חלבה, 350 גרם, בלגה)
1480759,BORN15,Bornibus Pistachio Pesto,בורניבוס פיסטוק פסטו
1480761,1480761,Peanut Butter,חמאת בוטנים
1480762,1480762,Peanut Butter with Pieces,חמאת בוטנים עם חתיכות
1480770,CNNFDS40,Jg Hot Chilli Sauce,JG רוטב צ'ילי חם
1480771,HNYJAM09,Hazelnut Spread 350G,אגוז לוז ממרח 350 גרם
1480772,CNNFDS46,Jg Thousand Islands Dressing,Jg אלף איים רוטב
1480773,CNNFDS27,Har Bracha Tahini 500g (24),הר ברכה טחיני 500 גרם (24)
1480784,CNNFDS50,Hashahar Chocolate Spread Parve, 400G,שחרור ממרח שוקולד Hashahar, 400 גרם
1480786,CNNFDS108,Hellmann's Real Mayonnaise Jar 394g 1 unit (12),צנצנת המיונז האמיתית של הלמן 394G יחידה 1 (12)
1480788,BASI02,Balsamic Vinegar,חומץ בלסמי
1480791,BORN06,Bornibus Fig Confit,Bornibus Fig Confit
1480792,BORN08,Bornibus Pearly Onions,בורניבוס בצל פניני
1480793,HNYJAM17,Fur Nougat Puree,מחית נוגט פרווה
1480797,CNNFDS136,Tahini 500g 1 unit (Achva) (12),יחידה טחיני 500 גרם 1 (Achva) (12)
1480798,CNNFDS146,Grainy French Dijon Mustard 350g,חרדל דיז'ון צרפתי גרגרני 350 גרם
1480799,CNNFDS202,Tomato Concentrate In A Can,תרכיז עגבניות בפחית
1480800,PSOVR31,Telma Mayonnaise 500g 1 unit (12),Mayonnaise Telma 500G 1 יחידה (12)
1480802,CNNFDS210,Ag Classic Steak Sauce,רוטב סטייק קלאסי AG
1480806,1480806,Chocolate spread,ממרח שוקולד
1480807,1480807,Peanut Butter with Pieces,חמאת בוטנים עם חתיכות
1480808,1480808,Peanut Butter,חמאת בוטנים
1480810,1480810,Green Curry Paste, 400g,משחת קארי ירוקה, 400 גרם
1480811,1480811,Dijon Mustard with Seeds, 360g,חרדל דיז'ון עם זרעים, 360 גרם
1480812,1480812,Reduced Cream with Balsamic Vinegar from Modena,קרם מופחת עם חומץ בלסמי ממודנה
1480813,1480813,Schneider’s Arugula and Basil Pesto Spread,ארוגולה של שניידר ופסטו בזיליקום
1480814,CNNFDS243,Maille Mayonnaise,מיונז מייל
1480815,CNNFDS236,Sweet Chili Sauce,רוטב צ'ילי מתוק
1480816,CNNFDS237,Spicy Tomato Sauce,רוטב עגבניות חריף
1480817,CNNFDS240,Spicy Shakshuka Sauce,רוטב שקשוקה פיקנטי
1480818,1480818,Osem Chilli Ketchup,קטשופ אוסם צ'ילי
1480819,1480819,kikkoman teriyaki sauce,רוטב Kikkoman Teriyaki
1480820,1480820,Yellow curry sauce,רוטב קארי צהוב
1480821,1480821,Red Curry Sauce 250 ml,רוטב קארי אדום 250 מל
1480827,1480827,Light Tomato Paste, 700g, Mutti (1/12 pack),ממרח עגבניות קל, 700 גרם, מוטי (חבילה 1/12)
1480832,1480832,Concentrated Tomato Sauce, 580g,רוטב עגבניות מרוכז, 580 גרם
1480833,NP02,Olive Cocktail Rings,טבעות קוקטייל זית
1480835,NP04,Green Olive Rings,טבעות זית ירוקות
1480836,NP05,Medium Whole Green Olives with Pits,זיתים ירוקים בינוניים שלמים עם בורות
1480837,NP06,Large Whole Green Olives with Pits,זיתים ירוקים שלמים עם בורות
1480838,NP07,Small Sauerkraut,כרוב כבוש קטן
1480839,NP08,Pickled Hot Shifka Pepper,פלפל שיפקה חם כבוש
1480840,NP09,Baby Corn,תירס לתינוק
1480841,NP21,Sardines in Tomato Sauce,סרדינים ברוטב עגבניות
1480843,NP29,Moroccan Sardines in Olive Oil,סרדינים מרוקאים בשמן זית
1480845,NP31,Smoked Sprats in Tomato Sauce,ספראטים מעושנים ברוטב עגבניות
1480847,NP33,Smoked Sprats in Canola Oil,ספרים מעושנים בשמן קנולה
1480848,NP34,Smoked Herring Fillet in Canola Oil,פילה הרינג מעושן בשמן קנולה
1480850,100000000144,Green Olives Rings 560g, 1 unit (Beit Hashita) (12),טבעות זיתים ירוקות 560 גרם, יחידה אחת (בית האשיטה) (12)
1480851,CNNFDS03,Beit Hashita Cucumbers In Salt 560G,מלפפונים של בית חשיטה במלח 560 גרם
1480852,CNNFDS04,Starkist Tuna in Oil 160g 1/4 (12),טונה סטקיסטית בשמן 160 גרם 1/4 (12)
1480857,CNNFDS71,Orteg Taco Sauce Thick&Smooth,רוטב טאקו של אורטגה סמיך חלק
1480860,1480860,Anchovy Fillet in Olive Oil Can, ORTIZ, 47.5g,פילה אנשובי בשמן זית יכול, אורטיז, 47.5 גרם
1480861,1480861,Beit Hashita Mixed Vegetables,BAT Hashita ירקות מעורבים
1480862,1480862,Beit Hashita Pickled Eggplants,בית חזיטה חמוצים
1480863,1480863,Berry Jam,ברי ג'אם
1480864,1480864,Cherry Jam,ריבת שרי
1480877,CNNFDS41,Jg Classic Soy Sauce,JG רוטב סויה קלאסי
1480880,CNNFDS44,Jg Garlic Honey Sauce,רוטב דבש שום של JG
1480913,CNNFDS153,Great Northern Beans,שעועית צפונית נהדרת
1480952,CNNFDS23,Beit Hashita Pickled Cucumbers In Brine Small,בית מלפפונים כבושים במלח במלח קטן
1480958,CNNFDS29,Tuna Spread,ממרח טונה
1480961,CNNFDS54,Yavne Green Olive Rings, 560G,טבעות זית ירוקות של Yavne, 560 גרם
1480965,CNNFDS53,Yavne Black Olive Rings, 560G,טבעות זית שחורות של Yavne, 560 גרם
1480968,CNNFDS22,Beit Hashita Pickled Cucumbers In Brine Medium,בית מלפפונים כבושים במדיום מלח
1480973,CNNFDS195,White Tuna In Olive Oil, 220 Grams,טונה לבנה בשמן זית, 220 גרם
1480987,CNNFDS65,Gourmet 212 Baby Jalapeno Slices 470Gm,גורמה 212 פרוסות ג'לפנו לתינוק 470 גרם
1480989,CNNFDS73,Everyday Sweet Relish,מתעסק מתוק יומיומי
1481009,CNNFDS127,Gefilte Fish Jar 700g (Yehiam) (12),Gefilte Fish Jar 700G (Yehiam) (12)
1481016,CNNFDS140,Larsen Herring Fillets In Mango Pepper Cream,לארסן הרינג פילה בקרם פלפל מנגו
1481019,CNNFDS143,Gluten-Free Soy Sauce,רוטב סויה ללא גלוטן
1481021,CNNFDS145,Dijon Mustard, Reine Dijon,דיז'ון חרדל, ריין דיז'ון
1481029,CNNFDS191,Pieces Of Yellowfin Tuna In Olive Oil, 112 Grams,חתיכות טונה צהובה בשמן זית, 112 גרם
1481032,CNNFDS193,Clone Fish Eggs, 200 Grams,ביצי דגים משובטות, 200 גרם
1481033,CNNFDS196,Mackerel Fillet In Soy Oil, 125 Grams,מקרל פילה בשמן סויה, 125 גרם
1481034,CNNFDS197,Squeeze Bottle Tahini 350g (Achva) (16),סחוט בקבוק טחיני 350 גרם (Achva) (16)
1481038,CNNFDS203,Spicy Sardines In Veg Oil,סרדינים חריפים בשמן טבעוני
1481040,CNNFDS02,Sera Roasted Eggplant,חציל קלוי של סרה
1481041,CNNFDS205,Fillet Of Mackeral In Soy Oil,פילה של מקרל בשמן סויה
1481049,CNNFDS214,Light Tuna salad,סלט טונה קל
1481050,CNNFDS215,Garden peas and carrots,אפונה וגזר גן
1481052,CNNFDS228,Starkist Tuna in Water 160g 1/4 (12),טונה סטקיסטית במים 160 גרם 1/4 (12)
1481054,CNNFDS218,Sardines in soy oil,סרדינים בשמן סויה
1481055,CNNFDS219,Champignon mushroom pieces, 230 g,חתיכות פטריות של שמפיניון, 230 גרם
1481061,CNNFDS224,Whole green olives, 340 grams,זיתים ירוקים שלמים, 340 גרם
1481065,1481065,Sliced Palm Hearts,לבבות דקלים חתוכים
1481066,1481066,Stuffed Grape Leaves with Rice,עלי ענבים ממולאים עם אורז
1481068,1481068,Garden Peas and Carrots,אפונה וגזר גן
1481071,1481071,Baked Beans Small Can, 570g,שעועית אפויה פחית קטנה, 570 גרם
1481072,1481072,Basil Pesto Dip,טבילה פסטו בזיל
1481073,1481073,Whole Palm Hearts in Salt Water,לבבות דקלים שלמים במי מלח
1481075,1481075,Large Garden Peas,אפונה גדולה בגינה
1481076,CNNFDS242,MAILLE Dijon Mustard,מייל דיז'ון חרדל
1481077,CNNFDS238,Pizza Tomato Sauce,רוטב עגבניות פיצה
1481078,CNNFDS235,Teriyaki Sauce,רוטב טריאקי
1481081,1481081,Klika Fish in Tomato Sauce,דגי קליקה ברוטב עגבניות
1481093,1481093,Uncle Vanya Lecho Transcarpathian 680g,הדוד Vanya Lecho TranscarPathian 680G
1481094,1481094,Uncle Vanya Bulgur Samarkand style460g,הדוד Vanya Bulgur Samarkand Style 460G
1481098,1481098,Uncle Vanya Assorted pickled vegetables,דוד וניה מגוון ירקות כבושים
1481102,1481102,Uncle Vanya Eggplant caviar Balkan style460g,קוויאר חציל דוד וניה סגנון בלקן 460 גרם
1481103,1481103,Green Olive,זית ירוק
1481107,1481107,Pickels In Vinegar (Size 7-9 Big),חמוצים בחומץ (גודל 7-9 גדולים)
1481108,1481108,kornichone pickels ( beit Hashita ),חמוצים קורניצ'ון (בית האשיטה)
1481110,1481110,Cod Fish Liver in Oil,כבד דגי בקלה בשמן
